content,score
Aktipkan yuotube di layar utama,1
Apa yang baru,5
নাইস্,5
Sang at membantu,5
Pekerja bangunnan,2
Membantu,5
Selamat datang di apl youtube,5
§♪♣♠♦✓,5
top markotop,5
menghibur,5
Iyah nih,3
mantap,5
Assalamualaikum,5
banyak bugggg,1
Youtube tidak bisa dibukak,1
Mantap,1
ie kuedejedbeevhe ban Naruto bagus🤝,5
saya tidak bisa nonton karena disuruh login terus,1
bagus,1
私はとても幸せです 多くの興味深い映画,5
coba lah,4
Knpa youtubu gak bisa di buka,4
Baik sekak8,5
Wes update yo ttp gk iso dibuka kipiye,5
👍👍,5
ada masalah,5
Mebuataplkkasiyutup,5
Trimakasi selamat pagi semuanya aku pastikan sehat ya paling utama lansiamemulihan yutup,1
😊😊,5
"bintang 5,karenaa sangatttt bagusss sekalii",5
Keren,5
yutupb,5
Siip,5
Sangat bagus .bisa bertanya,4
kadang ada bug ny juga tapii ya bagus laa,5
yotube,5
Enak,5
Mohon diberikan versi baru YouTube,1
Video positif,5
Gak kebuka,1
Teing daha,5
knp youtube ny gk bisa k buka,1
pliss jangan kasih you tube usang sama error' 400,2
Good,5
Ok,5
Gk bisa nonton you tube,1
you Tube gabisa dibuka,3
Saya pernah menyaduh adik saepupu,5
Kada mau,5
Kok susah buka yutub nya,5
Geeta sambalsambilgoyangkaki,5
f did simontlok,5
Bakus sekali,5
Great links,5
Oke,5
mau nonton YouTube,1
jelek YouTuo nya ga bisa di buka👎,1
BAGAS ADIBA MUSIC,1
Yangtze I was just the lain,5
indonesia,5
Ubdet,4
Ok,5
You tube,1
. .,5
Sangat bagus,5
Bagus,5
ya bagus,5
owoo itu adalah hari yang y S di Indonesia r di dalam aku eyhd itu tidak ada di dalam game itu ada juga e rumah 🏡🏡 ada komentar gak bisa di gunakan sisii bahan untuk membuat sebuah rumah yang bisa kita gunakan ytrggdu email enak dan udah lama gak mampir,5
bantu bos supaya perangkat ni hp bisa di gunakan untuk memperbaiki youtube,5
You tube,2
YouTube calendar old video outfit7 dengan wanita pencari berita terkait liga Spanyol musim ulang laptop atau pilih tablet Android on the spot trans studio bandung upload? ingin rasanya ku tahu engkau adalah video?,4
Rapel Aziza,1
sharil,2
Mantap,5
Lebih baik bangatttttttt,5
Lasma,5
ARTN,5
^<[☜¤☆¤☞]>^,3
Mhd jufri,5
tanah gempa,1
YouTube,5
Yulia fitri tri astuti,5
ok good,5
Fecky,5
lagu minang,5
redmi 4a,2
yutub,5
gk jelas,1
YosepTomatipi,5
Perbanyak followers?,5
Mantap YouTube,5
Cukup puas,4
Yt Musik.,5
Aplikasi youtube paling aman buat saya,5
Aplikasi ini buka tidak tampil,5
Sangat baik,5
fak otomatis premium saldo gw ilang,2
sagat bagus,5
Kenapa versi youtube selalu kedaluarsa?,1
kenapa hp akun you tube nya. g bisa di buka yh. kaya di blokir.. maksudnya apa,1
eror tolong benerin,1
Saya kurang menyenyangkan,3
luarbiasa,4
youtube selalu di hati,5
kok youtube nya error min.mending bikin youtube versi lite nya sumpah min,3
tidak mmuaskn,5
Siip,5
Ag suka nonton dngn yutube,5
kenapa you tube tidak bisa di buka si,1
oke,5
bagus,5
karena menghibur adek saya,5
Sangat membntu,5
lumayan,1
Bagus,5
"YouTube tu sangat penting dan luar biasa, semoga sukses selalu Amin",5
Saya kurang nikmati dgn aplikasi youtobe yg sekarang.,3
ok,3
nice,5
apk ini sangat bagus,5
Aplikasi yang bagus buat nonton hiburan,5
mantap,5
you Tube mimang oke adanya,5
good,5
kenapa yahh kok youtube gak bisa di pake download video. sama sekali gak bisaa terputar🤦‍♀️🤦‍♀️,2
jelek,1
bagus,5
ok,5
burung youtube harus selalu apdate,2
Sangat menyenangkn,5
YouTube mengganggu download hapus semua,5
Babagus,1
ok,3
Mantap,5
Baik,5
Bagus,5
Knpa youtube syg gx busa di buka,1
Saya suka,5
sangat membantu,5
tidak mengerti kenapa,1
semakin hari semakin parah ini YouTube nya kenapa saya gomong gini karna untuk download nya aja pake berbayar segala kalau aplikasi selalu ingin maju tolong perbaiki itu saja saran saya.,1
Sangat bagud,5
aplikasi ini bagus cuman agak ngelag sedikit aja,5
Tidak bisa di buka,5
Bagus,5
oke,5
Knpa sya tdk bs buka youtube,4
top,5
you tube ini dagus banget bisa bikin vidiyo bagus,4
Bagus 😎tapi yang bikin emosi tuh suka dikit-dikit update dikit-dikit update 😞🙄,3
mantep,5
Bagus dan berguna untuk membantu Anda,5
Best,5
Youtube ssya suka hiburanya,3
mantap,5
Harus bisa di buka,5
Kenapa yotube tidak bisa,3
ia the best 👍❤️,5
Kenapa ini YouTube ga bisa diputar,5
top,5
ruwet,1
kenapa YouTube selalu tidak bisa dibuka,1
bagus,5
Hari,1
perbaiki YouTube ku yang sudah usang,5
lagu lagu dangdut lawas,5
Sudah usang,1
bermanfaat,5
Sangt bagus youtube ini,5
Bagus 👍,5
ok,5
ok,5
bagus buat menonton vidio,5
oke,5
mantap,1
cukup baik,1
bagua,4
tiba2 ga bisa di gunakan lg,1
ok,5
karena ini sangat bagus dan cantik,5
mantap,5
menghibur,5
Sangat puas,5
bermanfaat buat mengetahui hal2 yg belum di ketahui,5
oke,5
kenapa gk bisa login y,5
apk-nya bagus sekali,5
tidak bisa di buka lagi,2
aplikasi yg bagus,5
Sangat membantu aplikasi ini,5
Hasilya oke banget,3
Oke,1
Kenapa ta bisa kebuka,1
good app,5
Ayo download capat aplikasi ini,5
Pelajari lebih lanjut,5
😍,5
"Audio track mengganggu, bagaimana cara menonaktifkan audio track?",1
bagus,5
mantap,5
saya sangat suka sekali,5
"Cuman mau ngasih saran , Penonton YouTube di seluruh Indonesia itu sangat resah akan komenan judol di setiap beberapa channel di Indonesia, Jadi saya mohon untuk pihak YouTube, buat fitur Block Komenan judol, Secara menyeluruh , walaupun content creator nya sudah block Komenan tersebut namun tetap bermunculan Komenan judol nya , jadi saya berharap di setiap channel di Indonesia itu bebas akan komenan judol ( judi online ). Dampak nya sangat amat negatif untuk pemuda atau pun anak anak.",5
mantap Boss klu ad acara youtube sy sngt senang vs nonton acara ap si yg sy mau sukses sllu Boss ntuk aplikasi ini,5
ga jelas,1
Ok,5
bagus banget konten yg kita sukai akan banyak muncul jadi gak ada yang aneh²,4
"trek audio sangat mengganggu, niatnya saya belajar bahasa inggris malah tiba² bahasanya berubah menjadi indonesia, hapus fitur trek audio",1
Ok,4
baik,5
minta solusi nya donk min... di hp saya aplikasi youtube nya udh usang ga bisa di buka lgi walaupun sudah di update...,1
Kenapa aplikasi YouTube says tidak bisa di buka ia,2
semoga lancar,5
Ude kaga bisa android 6 ye,1
kenapa kok ngk bisa dibuka you tube nya,1
tolong tambahkan fitur translate di live video chat,1
shyum😊,5
Kurang baik GK bisa nonton sex bebas,5
Assalamualaikum mau ikut aja deh buat apa sih itu teh t ada di dunia nyata nya juga sih ya gue emang kenapa harus bilang aja kangen banget deh,5
bagus banget,5
apaan aplikasi rusak udh ga bisa lagi nonton ama upload video,1
tidak bisa di putar,4
oke,5
sangat bagus,5
busuk,5
👍bagus,5
Tidak bida d pasang,4
sangat mantap,5
baik beritanya utk sehari hari,5
Suka,5
Tidak bisa menginstal tolong bantuannya,5
puas,5
Ok,5
oke mantap,5
ma. af min aplikasi youtub aku sering hilang sendiri gimana yahhh.?,5
Aktifkan youtube bawaan samsung semuanya,1
Sayamenggunakn aplisiyoutub sangtbaik,5
keren,5
Sangat menghibur dan berita yg akurat,4
asik buat nonton,5
sangat puas,1
Kenapa youtube gk bisa di donload,5
Sangat memuasan kawan,5
Mantap lah,5
oke,5
cukup baik,5
The best,5
makin parah server youtube sekarang bugh nya banyak banget nonton di Youtube cuma buang2 Kuota mana film nya patah patah sistem nya selalu ngefrez Aplikasi selalu tertutup terhenti sendiri,1
"mengapa tiba2 ada potongan otomatis di dompet digital,untuk pembayaran youtube premium.padahal tidak berlangganan🥲🙏",2
ok,5
gak bisa buka youtube,5
Saya ingin menonton youtube iki,5
Baik,5
gmn sih ni kaga bisa ganti akun,1
mantap,4
youtube saya tidak bisa di akses,1
Bagus,4
Sangat baik,5
bagus,3
cukup membantu untuk belajar dan pengetahuan luas,5
"Terima kasih youtub, youtub aplikasi yang sangat terbaik",5
baik,5
Bagus,5
Ok,5
ada masalah di YouTube sayah,5
"gapernah sekecewa ini, akun saya hilang oleh YouTube padahal saya tidak melakukan tindakan berbahaya saya hanya komen di live streaming tapi knp YouTube menghapus akun saya, sepertinya saya tidak pantas menjadi youtuber:'(",1
"Keren sih,,",3
suka,5
Bagus tetapi tiba tiba di buka .ada perintah pasang..di klik tdk bisa di buka,4
Kenapa youtube kok gak bisa,1
Buruk,2
"youtube sekarang gak bisa dibuka di handphone, 2handphone-ku sudah ter-update terbaru (otomatis). masih gak kebuka, apa hpku terlalu jadul buat kalian. - vivo 1603 - vivo 1605",1
good,5
Sangat membantu lagi Cari hiburan,5
saya mau masuk kembali,4
yaaaaaaaa,5
"makin lama iklan YouTube makin ngawur,masa iklan sampe 5 menit klo gk di skip ya bakalan lanjut terus iklannya,masa org mo tdr suruh skip"" iklan mulu ga peka sumpah, padahal iklan 15 detik udah cukup,klo kek gini rasanya penguna di paksa harus YouTube premium dong kocak",1
Like,5
Udah di update tetep gk bisa kebuka,1
Tolong jangn dipersulit,5
istimewa,4
Selamat,4
Bagus,5
bagus.biar bintsng bicara,4
YouTube Sopu,4
kenapa sekarang you tube gak bisa di gunakan/di buka,1
mantap,5
Tidak bisa,1
ga bsa di buka,1
bagus👍,5
sy bs baca berita terkini dg cepat ?,5
Buat nonton film hantu,5
"kesel, banyak komentar judol",1
"Sekarang Tablet saya yang sudah menemani saya bertahun-tahun sudah tidak kompatible lagi dengan Youtube, sayang sekali dengan terpaksa saya uninstal youtube nya.",1
Ini gimana kok saya gk bisa buka yutube katanya sudah usang,1
Bermafaat,5
blum bisa donlowad,5
hapuskan vidio short,5
Belakangan ini aplikasi YouTube sering nge-bug. Tolong benerin aplikasi YouTube sekarang!!!,1
Top,4
Sangat bagus,5
kurang,4
Kenapa gk bisa di buka you tube nya,3
Tidak bisapasang di HP ku,5
aplikasi saya tidak bisa digunakan apa sebabnya y,5
Tidak bisa diperbarui,5
😊,1
"gak bisa buka youtobe, gak bisa di perbarui juga",1
luar biasa...,4
Mantap,5
mantap,5
Isthebes,5
bagus,5
ganguan,1
Bagus,5
Ok,5
youtube ini sering aja suruh abdete apa lagi gak bisa saya jadi pusing tau 😠😠😠😠,1
Ok,1
tidak bisa di buka knapa yah,5
ok,5
You tube membikin aku senang dan seru,5
youtube itu sudah bagus tapi saya ingin beri saran untuk ben/blockir akun selama 999tahun (akun judi) jadi sekian dari saya,5
"lama sy gak bisa login ke you tube,nih sy mw coba login lg, ***bismillah hirrohmanirrohhim***",5
Sangat membantu informasi,5
Aplikasi untuk konten terbaik yang pernah ada 😍👍🏻,5
Apk Top Bgt,5
ok,5
saya puas dengan Film anda tapi kenapa gak bisa di update YouTube nya,1
Ok,5
Masalah apa dengan you tube,5
kenapa youtube g bisa d buka,1
mantap,4
Mantap,5
Bagus,5
sangat bagus,5
Sangat membantu cari berita berita,5
Bagus,5
I like it,5
Kok ngak konek you Tube nya,1
Mantap,5
youtube gk bs d buka,1
Bagus bngttttttt,3
sangat membantu,3
bodo suda YouTube ni,5
bagus banget,5
you tube memang terbaik👍💯,5
bagus,5
sangat bail,5
bagai mana ini gk mau terbuka,1
g bisa di hp type lama,1
ok,5
mantap,5
banyak hal yang meyenang kan di youtube 🖒,5
"lumayan aja, b aja",3
saya suka dg apk ini,4
Bagus,5
susah update,1
Gk bis buk yotube knp yh,5
Bagus .membantu belajar anak juga,4
Youtube saya tidak bisa buka aplikasi ini tolong permudah terima kasih,5
youtube gak bisa,5
"ko YouTube,gabisa buka yah",4
Baik,5
mantap,5
Ok,5
bug gak bisa msuk malah ada tanda 1 menit lagi udah di tungguin lama lama sama aja,1
tidak bisa menonton selalu dipencet beralim ke yuotube com,1
Alhamdulillah,5
saya kasih bintang 3 kenp saya nda bisa log in di hp saya,3
👌OK OK,5
bagus,5
Bgus,3
sebelum di update gw buat video hilang terus untung subscribenya tidak mengulangi dari 0,1
suka error ngelag padahal jaringan bagus,3
bug riwayat search yg berupa tulisan yg membantu biar kita ga nulis full.. ilang.. geser video harus di geser geser gabisa ditap kayak dulu..,2
kenapa dia lelet tiap pakai vifi,4
Iya,4
cukup,4
tidak bisa nonton bokepp,2
top,5
Bagus,5
"youtube akhir akhir ini sering error, lagi nonton stream tiba-tiba lag parah padahal sinyal udah bagus",1
bagus sekali youtube,2
Bagus,5
biasa saja,4
Aku suka,4
Bagus,5
bagus bmmenghibur,5
bagus,5
keren,5
YouTube keren menghibur bagus.,5
bagus,5
ga bisa kebuka lagi YouTube nya tolong di hp y66 diperbaiki ya YouTube,1
sungguh.baik,1
"error',,,mengecewakan,,,berkali2 update TPI nggak bisa di buka",1
😊bagus,5
Knpa tidak bisa di buka.,1
Bgmna donlosd youtube yg sdh kadaluarsa,5
Tidak bisa dibuka dihp saya,1
good,5
knapa youtube gak bisa masuk,5
mantap,5
Bagis,5
bagus,5
update nya lama bngt dari 2023,3
terlalu lelet,2
bagus,5
Lumaian menarik,1
sangat bagus,5
Mantap,5
Saya suka,5
b aja,5
YouTube nya gimana ini booossss,5
Cukup bagus,5
good,5
bagus dpt info trkini,5
sangat berguna karena bisa menonton hiburan 😄😄😄😄,5
Ok,5
Mau yutubeu,5
Youtube tidak bisa digunakan,5
Kenapa yah jadi gk bs kpake youtube nya,5
Sangat baik,5
Senang,5
Kurg seng tolong diperbaiki,1
aku ngasih lima bintang,4
makasi. youtube,5
gak bisa di buka youtube nya pas udah apdet,1
Jelek,3
Mantap,5
Ok,5
Tidak bisa di downlod,5
bagus.,4
mntap,5
menunggu tak pasti,4
Aktifkan yutube kembali,2
Oke,5
Sangat nagus,2
Buruk sekali,2
tidak bisa berkomentar di short,1
Gak bisa di audate,3
apik,5
Selamat datang YouTube,4
karena youtube ini udah saya update tetp tidak jadi,4
Sangat bagus dan mudah di akses,4
yutube gabisa di buka,5
good mantap,5
kenapa nggak bisa di buka,5
tdk bisa terbuka aplikasinya,1
Mantap ...,4
bagus untuk nonton film dan grafik ya bagus,5
kurang update ajah sih tapi udah bagus cuma kurang update lebih update ajh ya yutub,3
Terbaik,5
"YouTube sekarang jelek banget , upload video Banyak larangan nya , bikin kuota habis gak seperti dulu",1
Ok,4
Mantul benar,5
"Dikit² premium, Dikit² premium. banyak Banget Video yang mau di download Di kasi Premium. sekalian aja kalau mau buka apk Nya harus Premium 😒",1
mantap,5
Bagus,5
mntap,5
"upload video untuk dijadwalkan sekarang susah banget ngatur waktunya. gagal mulu, masa pukul 00.00 terus. padahal sudah diatur pukul 08.30, tetep keluarnya 00.00.",2
Yang terbaik,5
Bagus banget bisa nonton ofline,5
Vidio lagi Musik,5
Mantap,5
Bagus,5
susah dibuka kenapa ya,5
Susah dibuka,2
bagus,5
ok,3
Aahai,5
terlalu sering update bikin memory internal penuh,3
mengguna kn,1
sangat buruk,1
Ok,5
Gak bisa dibuka YouTube nyaa..gimana ni caranya,4
Ok,5
sangat bagus,5
.mantap,5
vidio selalu baik dalam menonton,5
ngaji,2
Bagus,5
Bagus,5
Baik,5
Knoa dengan YouTube aku YouTube aku bermasalah,5
dh update..mlah balik lg suruh update lg..layanan macam apa ini..!!,4
aplikasi ini sangat bagus👍👌,5
"sudah tidak bisa dibuka aplikasinya. kecewa sekali, meskipun di update berapa kali tidak bisa dibuka.",1
Tidak biza dibuka,1
Sangat bagus,5
aplikasi yg sangat membantu semua aktifitas pekerjaan,5
Knp gak bisa mendounlod youTube,5
wahh aku suka banget youtube nya,5
ok,5
mantap,5
ok,5
udah diperbarui kok tetep gak bisa dibuka,3
Oke,5
"Sangat membantu anak""",5
Aplikasi(YouTube) ini sangat bagus untuk di download... saya suka dengan aplikasi(YouTube) Rating ☆☆☆☆☆,5
Ok,5
okey boss ku,5
kenapa gak bisa buka,5
Mantap,5
Bagus,2
eror gak bisa download video offline sekarang,2
keren,5
sangat bagus,5
iklan bah macam tv,1
Top bgt,5
Ok,5
keren pokoknya keren cuma gabisa download hrus bayar langganan 1 bulan gabisa,5
ma masih di coba,4
baik sekali,5
ku suka,5
baik,4
ngelag,2
bug doang lu,1
Wow,5
Bagus sekali,5
Tidak d buka,5
Tidak bisa buka Youtube,4
lumayan bagus buat cari review produk,5
"setelah diupdate grafik short selalu hd, jadi boros kuota",1
baik sekali,5
Kenapa youtube saya ga bisa lagi dibuka...? Tolong bantu,5
tdk bisa di buka,5
Apk YouTube ini menurut saya mabus tapi gak sebagus fff max wkwk😁😁maaf Cuba bisa kasi bintang 3,3
Aktif kan lg,5
Sangat baik,5
Jadi aku kan mau main youtube jadi youtube aku gak bisa lagu mainya gitula bay,4
kolom komentar full jodol,1
kok tpi saya gk bisa di update bisa tpi keluar sekali nnti beberapa detik saya peggang hp buka youtube tiba tiba minta pakai broser tpi sekali nya pakai broser gk bisa coba di update bisa habis itu gk peggan hp beberapa menit saya mau buka youtube tiba tiba suruh lagi pakai broser knp yah? 😟😟😟,1
Bagus,5
bagus,5
ok mantap👍,5
Seneng,5
Tidak ada versi youtube yg bisa di instal di perangkat saya,3
Mantaf aplikasi youtobe banyak inspirasi buat pembelajaran,5
tidk bisa di bukak,1
butik banyak bug,1
tidak bagus selalu lemot,1
Bagus,5
Mantep,5
Oke,5
SAAANGAAAAATTTTT BAGUSSSSSSSS!!!! ;,5
bagus banget,5
Kenapa saya tidak bisaenginstal apk ini,5
SPAM JUDOL NYA TOLONG DIBENAHI.,1
saya sangat suka,5
gak bisa dibuka,1
udh di update tapi ga bs k versi baru malah suruh update selama satu menit. udh di uninstall di isntal ulang ttp ga bs gmn sih,1
susah masuknya,5
Kenapa gak bisa buka youtube,5
tolong di perbaiki youtube,5
bagus,1
Susah masuk,2
bagus,5
"kenapa setiap buka aplikasi youtube ada iklannya terus sejak di update,bagaimana cara menghilangkannya?",5
Ok,5
Mantul coy,5
Baik bagus,3
good,5
Mantap,1
YouTube Na Mano,2
👍👍👍👍👍,3
bagus,4
gembel udah diupdate tetep gabisa dibuka,1
Good,5
Bagus,1
Leaps apk nya ga bisa kebuka,5
Jelek,5
kalau bisa tambah fitur translate komentar,4
sudah bagus tapi vidio tida patas mansih adan seperti vidio bongkar Film tolong kedepan nya harus ada peraturan untuk laranag pada vidio Karna bikin saya kepikiran terus kalo ganada 🤔,5
iya,5
Bagus,5
bagus,5
Mantappp,5
aku suka yutube yang baij dan bagus,1
aplikasinya berjalan aman,5
aplikasi ini bagus,1
mantab,5
"koq tiba2 jaringan 400 ,jadi intinya gak bisa tampil YouTube umumnya",5
YouTube sampah gak guna sekarang YouTube dikit dikit putus dikit dikit rusak mending ke tik tok jangan YouTube soalnya udh GK guna,1
Q bri Bintang ⁵ krna sya Sgt suka infonya,5
Ko tidk bisa di buka,5
Sangat bagus tidak mengecewakan 👍👍👍👍👍👍👍,5
BAGUS BANGET,5
sangat membantu,5
TdAk bisa terbuka,3
sangat memuaskan,5
Xl sinyal sudah bagus cepat mengakses youtube,5
aplikasi tidak fungsi,5
Bagus,5
Bagus,5
Keren,5
Kenapa sy mau masuk nonton ko kagak bisa ? Ko disuruh update trus padahal udh sy update,1
karna aku gk bsa buka YouTube aku kasih bintang satu dulu iya .karna gk bsa buka YouTube nya terima kasih 🙏🙏,1
bgusss,5
mntap,5
terbaik,5
Berapa kali update nggak bs di pakai,1
bagus,5
Mantap,5
Sangat bermanfaat,5
sangat bagus,5
keren,5
saya ingin hapus aplikasi tapi tidak bisa,1
Lagu malaisya koplo,5
Ok,5
bagus,5
kenapa si saya udah update tapi nggak bisa liat atau lanjut nonton di YouTube. makin di update makin parah ni youtube,1
updet terus,5
"abis diupdate jendela kecilnya malah fitur skip 10 sec dihilangkan, kalo mau nyekip masa harus di layar utama dulu, balikin lahh fiturnya",1
Saya mau ini youtube di Update soal nya saya mau daftar akun tidak bisa tolong ini youtube nya update kalau sudah di update baru saya kasih bintang 5,2
makasih,4
bagus,5
jelek banget,5
aku gak bisa buka youtube,2
Mantap lama,5
bagus,4
bagus,5
Sangat bermanfat,5
nice,5
Halo YouTube apk mu ini bagus tapi Tolong dong dibuatin kalo kita udh subscribe kita GK bisa unsub jadi subscribe permanen gitu. Dan tambahin juga kaya kita bisa liat SUBCRIBE kita siapa aja jadi itu aja sih yang harus di perbaiki pihak yt semoga di baca ya🙏,5
Semoga cepet di-update,5
Banyak gaya,2
Ok bos,5
Saya baru mau coba,5
Bagus,5
Youtubenya gk bisa tahan lama,1
Ok,5
terlalu banyak updet jadi susah mau nonton dollnotan eh malah updet dimohonkan kurangi updetn ya,2
Gak bisa di oppo wkwwkwkwkwkw,1
ok,5
bagus tapi kalau mau lebih bagusan pos tanpa iklan dong YouTube plssssss,5
gampang usang,1
Bagus,5
Bagus,5
oke gan,5
Baik,5
tidak bisa di buka selalu terupdet,1
keren,5
Sangat bagus,5
"udah d update Mash ah g bisa"", g jls",1
aku setiap hari nonton pak no dan Upin Ipin,5
Pulihkan yutube,5
YouTube Amazing,5
kenapa youtube di hp saya tak bisa saya aplikasi,5
Keren,5
good,5
mantap di sini bisa nonton apa aja seperti kartun dan film lainnya,5
Bagus,5
video youtube short gak bisa ditonton,2
Aplikasi ini sangat bermanfaat,5
Bagus sekali,5
muantap... sangat memuaskan,5
Thengkyou,5
bagus,5
Tdk bisa youtube,4
Baik,5
Sangat bagus,5
aplikasi ini sempurna dan menyenangkan,5
tulisan komentar saya selalu tdk muncul,2
bagus,5
bagus bagett,5
nice,5
udah di download udah di upgrade tetep aja masuknya harus download iya klw bisa di buka Ndak bisa di buka juga cuma ngurangin kuota aja 🤔,1
"Makin di-update makin jelek desain UI nya. Fitur sulih suara otomatis juga sampah, setidaknya beri kami opsi untuk menonaktifkan fitur tersebut selamanya. Aplikasi makin di-update makin buruk. 👎 Kalau bisa saya beri 0 bintang.",1
Sangat baguss saya suka 😊😊,5
good,5
Ok,5
"Kadang-kadang suka kesel karna banyak iklan, dan juga saat ingin buka youtube harus update terlebih dahulu",1
ok,5
Kenapa youtube ga bisa ke buka,5
mantab,5
sangat baik,5
bagus,5
Sangat baik,5
sangat bagussssssss,5
Tak Bisa di Gunakan,1
lumayan bagus,1
Jozzz,5
Mantap,5
Lambat,4
oke,5
Suka nyari resep di YouTube,5
Nonton film,5
Sangat bagus,5
Bintang 5 adalah bintang yang bagush,5
b aja sih,5
sangat membantu dalam menemukan informasi,5
"tidak bisa di pakai di hp, YouTube usang terus padahal udh di upgrade",5
mohon maaf jika saya mengasih bintang 4 jadi masalahnya adalah ketika saya ingin menelusuri video malah layar putih 2 menit dan saya harus bermain ibis paints dan saya juga ingin dikurangi jika mau kebawah short jangan ada hitam hitam beberapa detik mohon maaf ya.,4
Saya 5 lima,5
"sering tekeluar dari aplikasi, aplikasi error",1
Habibi gege ganteng dayat elaaa,1
bagus,4
alus pisan,5
mantap,5
Gw kasih bintang 1 karena kalo udah lama harus pindah ke you tube crom,1
Makin mantap,5
layar nya lurus,1
Makin baik,5
ok,1
YOUTUBE INI BERGUNA,5
Aplikasi ini kenapa ndak bisa ditampilkan,5
Mantap,5
Kebanyakan iklan mau langganan premium juga fitur yang di kasih kurang sebanding.,1
good,5
bagus penyampaiannya,5
Tidak bisa d putar,1
Bagus,5
"saya beri bintang 1. alasannya karena kalau mau menghapus history 1 per 1 kenapa tidak langsung hilang saja dan hanya muncul pemberitahuan warna hitam di bawah tapi sekarang saat menghapus history 1 per 1 malah pemberitahuannya muncul di bekas video yang dihapus tersebut, walhasil harus refresh antarmuka agar muncul lagi history video yang lain. sangat ribet dan merepotkan. kenapa sih saat ada update aplikasi bukannya tambah baik malah ngide2 tidak jelas, inovasi yang tidak berguna sama sekali.",1
Banyak vidio,5
sangat baik,5
sangat di sayangkan ga bisa kebuka,5
suka keluar sendiri dan nge-bug,1
karena tidak bisa di buka,1
sat ubintang,1
seru banget,5
gua mau buat anomali tung-tung sahur kenapa malah pas gua mau bikin matanya saya kan gerakin matanya kan awalnya bisa tapi pas saya mau kepala kayunya yang gerak,2
tiba2 tidak bisa,4
yutube g gguaan,2
sayang,1
oke,5
Bagus,4
Yutup,5
tapi lag,5
Ok,5
baik,5
Baik,5
good nice,5
ok,5
Ok,4
baik,5
bags bngt,3
"kolom komentar suka hilang. sa'at lama menonton short maupun video biasa lainnya kolom komentar suka gak ada, tolong untuk perbaiki secepatnya, karena menghalau orang utk menyampikan sesuatu pada video video yg ditonton, terimakasih",3
terllalu banyak iklannya,4
ok,5
Bagus,5
Aku sering buka yutub untuk mencari tukang mengaji quran,5
makan 🍴🍱,5
Ate sapaat,5
mantap,5
